date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:41	20643/20643	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:18%20GMT	https://mc-blaze.com/rules/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/rules/index.html	(from https://mc-blaze.com/)
09:00:42	20302/20302	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:19%20GMT	https://mc-blaze.com/support/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/support/index.html	(from https://mc-blaze.com/)
09:00:44	52474/52474	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:19%20GMT	https://mc-blaze.com/survival-1-19-reset-2/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/survival-1-19-reset-2/index.html	(from https://mc-blaze.com/)
09:00:44	8135243/8135243	---M--	200	added ('OK')	image/png	etag:W/%227c224b-18052a02bf8%22	https://mc-blaze.com/content/images/size/w2000/2022/04/blazingtidenologo2.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/content/images/size/w2000/2022/04/blazingtidenologo2.png	(from https://mc-blaze.com/)
09:00:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:22%20GMT	https://mc-blaze.com/vote	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/vote	(from https://mc-blaze.com/)
09:00:45	40718/40718	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:21%20GMT	https://mc-blaze.com/skyblock-reset/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/skyblock-reset/index.html	(from https://mc-blaze.com/)
09:00:46	27977/27977	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:22%20GMT	https://mc-blaze.com/blaze-pixelmon-reset/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/blaze-pixelmon-reset/index.html	(from https://mc-blaze.com/)
09:00:46	5756539/5756539	---M--	200	added ('OK')	image/png	etag:W/%2257d67b-1801f5cb01a%22	https://mc-blaze.com/content/images/size/w2000/2022/04/blazeaquafinal-2.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/content/images/size/w2000/2022/04/blazeaquafinal-2.png	(from https://mc-blaze.com/)
09:00:46	32199/32199	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:23%20GMT	https://mc-blaze.com/skyblock-release/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/skyblock-release/index.html	(from https://mc-blaze.com/)
09:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:23%20GMT	https://mc-blaze.com/appeal-a-punishment	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/appeal-a-punishment	(from https://mc-blaze.com/)
09:00:46	10675429/10675429	---M--	200	added ('OK')	image/png	etag:W/%22a2e4e5-17feb497ae4%22	https://mc-blaze.com/content/images/size/w2000/2022/04/blazingtidelogo.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/content/images/size/w2000/2022/04/blazingtidelogo.png	(from https://mc-blaze.com/)
09:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:23%20GMT	https://mc-blaze.com/staff	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/staff	(from https://mc-blaze.com/)
09:00:46	20003/20003	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:23%20GMT	https://mc-blaze.com/appeal-a-punishment/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/appeal-a-punishment/index.html	(from https://mc-blaze.com/)
09:00:46	913/913	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22391-17febd1bbbe%22	https://mc-blaze.com/assets/images/svg/discord.svg?v=b13c5aa825	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/assets/images/svg/discord4652.svg	(from https://mc-blaze.com/)
